"PING_INLINE","31017.37"
"PING_BULK","30303.03"
"SET","30193.24"
"GET","29515.94"
"INCR","31017.37"
"LPUSH","29761.91"
"RPUSH","29761.91"
"LPOP","29533.37"
"RPOP","29568.30"
"SADD","29550.83"
"HSET","30469.22"
"SPOP","29411.76"
"ZADD","30120.48"
"ZPOPMIN","30358.23"
"LPUSH (needed to benchmark LRANGE)","30921.46"
"LRANGE_100 (first 100 elements)","21691.97"
"LRANGE_300 (first 300 elements)","12171.37"
"LRANGE_500 (first 450 elements)","9331.84"
"LRANGE_600 (first 600 elements)","7528.99"
"MSET (10 keys)","30826.14"
